Hash;Pseudonym;DataPointClass;DataType;IsRecommendation;IsEvent;Aperture;Measure;DecimalPlaces;IgnoreEqualValues;ArrayDimensions;ArrayDataType;UserStruct;IsChildOfVariable;NestingLevel;IsUsedByClient
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[3].stSensor.out_rValueFilterAndCorrex";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[3].stSensor.out_rValueFilterAndCorrex";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stHeaterSettings.xSetRemoteMode";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stHeaterSettings.xSetRemoteMode";InOut;BOOL;False;False;0;;0;False;;;;False;0;True
"ns=4;s=|var|kB.D-2.Application.GVL.fbParkingModeSupplyVent.in_xParkingModeDamper";"ns=4;s=|var|kB.D-2.Application.GVL.fbParkingModeSupplyVent.in_xParkingModeDamper";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[5].fbPT1000.Index";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[5].fbPT1000.Index";InOut;USINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbFilter[10].rTF";"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbFilter[10].rTF";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbHeater.rsMinTimeHeatingUp.Q1";"ns=4;s=|var|kB.D-2.Application.GVL.fbHeater.rsMinTimeHeatingUp.Q1";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbFanRecup.fbScaling.in_rYMIN";"ns=4;s=|var|kB.D-2.Application.GVL.fbFanRecup.fbScaling.in_rYMIN";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbPID[1].fbScaling.in_rXMIN";"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbPID[1].fbScaling.in_rXMIN";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[8].stSensorSettings.xUseTriggerAlarm";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[8].stSensorSettings.xUseTriggerAlarm";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.axAlarmCollections[13]";"ns=4;s=|var|kB.D-2.Application.GVL.axAlarmCollections[13]";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[2].stSensorSettings.rRightInterval";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[2].stSensorSettings.rRightInterval";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.A2_AIpin12_rSensor3";"ns=4;s=|var|kB.D-2.Application.GVL.A2_AIpin12_rSensor3";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensorSettings[2].xUseTriggerAlarm";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensorSettings[2].xUseTriggerAlarm";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[8].in_xResetAlarm";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[8].in_xResetAlarm";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.astSensor[7].in_rValueFilter";"ns=4;s=|var|kB.D-2.Application.GVL.astSensor[7].in_rValueFilter";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|vprop|kB.D-2.Application.GVL.fbSensors[2].fbPT1000.Factor_D_Pt1000A385.IndexMax";"ns=4;s=|vprop|kB.D-2.Application.GVL.fbSensors[2].fbPT1000.Factor_D_Pt1000A385.IndexMax";InOut;DINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[1].out_xAlarmSensor";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[1].out_xAlarmSensor";InOut;BOOL;False;False;0;;0;False;;;;False;0;True
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[4].rsAlarmSensor.RESET1";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[4].rsAlarmSensor.RESET1";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensorSettings[2].rScaleYMAX";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensorSettings[2].rScaleYMAX";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[1].stSensor.in_rValue";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[1].stSensor.in_rValue";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stHoldingRegisters.arHoldingRegisters[34]";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stHoldingRegisters.arHoldingRegisters[34]";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbParkingModeExhaustVent.in_xAlarmPower";"ns=4;s=|var|kB.D-2.Application.GVL.fbParkingModeExhaustVent.in_xAlarmPower";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensorSettings[8].rScaleXMIN";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensorSettings[8].rScaleXMIN";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[10].stSensor.out_AlarmSensor";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[10].stSensor.out_AlarmSensor";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
i=2994;i=2994;InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stHoldingRegisters.arHoldingRegisters[58]";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stHoldingRegisters.arHoldingRegisters[58]";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbPID[1].fbScaling.in_rYMIN";"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbPID[1].fbScaling.in_rYMIN";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensorSettings[8].rRightInterval";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensorSettings[8].rRightInterval";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[12].fbInterval.in_rRightBorder";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[12].fbInterval.in_rRightBorder";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbFilter[12].out_rValueFilter";"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbFilter[12].out_rValueFilter";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbPID[2].fbPidFixCycle.Y_ADDOFFSET";"ns=4;s=|var|kB.D-2.Application.POU_Regulators.afbPID[2].fbPidFixCycle.Y_ADDOFFSET";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[1].fbInterval.in_rValue";"ns=4;s=|var|kB.D-2.Application.GVL.fbSensors[1].fbInterval.in_rValue";InOut;REAL;False;False;0;;0;False;;;;False;0;False
