Hash;Pseudonym;DataPointClass;DataType;IsRecommendation;IsEvent;Aperture;Measure;DecimalPlaces;IgnoreEqualValues;ArrayDimensions;ArrayDataType;UserStruct;IsChildOfVariable;NestingLevel;IsUsedByClient
"ns=4;s=|var|kB.D-2.Application.GVL.SysTimeDate.wDay";"ns=4;s=|var|kB.D-2.Application.GVL.SysTimeDate.wDay";InOut;UINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[8].stSensorSettings.rScaleYMAX";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[8].stSensorSettings.rScaleYMAX";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbAlarms.rsAlarmPower.Q1";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbAlarms.rsAlarmPower.Q1";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stParkingExhaust.xUseWorkOnTime";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stParkingExhaust.xUseWorkOnTime";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[8].in_rValueFromFilter";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[8].in_rValueFromFilter";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.A1_DIpin28_xAvtFanRecup";"ns=4;s=|var|kB.D-2.Application.GVL.A1_DIpin28_xAvtFanRecup";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbReset.tpResetAlarms.Q";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbReset.tpResetAlarms.Q";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
i=15960;i=15960;InOut;LDT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[7].fbPT1000.Factor_D_Pt1000A385";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[7].fbPT1000.Factor_D_Pt1000A385";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[7].stSensorSettings.xRightIntervalStrict";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[7].stSensorSettings.xRightIntervalStrict";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stParkingExhaust.wSetOffHour";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stParkingExhaust.wSetOffHour";InOut;USINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[1].fbInterval.in_rValue";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[1].fbInterval.in_rValue";InOut;REAL;False;False;0;;0;False;;;;False;0;False
i=2267;i=2267;InOut;USINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.A2_AIpin19_r";"ns=4;s=|var|kB.D-2.Application.GVL.A2_AIpin19_r";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[8].fbInterval.out_rValue";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[8].fbInterval.out_rValue";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbSupplyVent.xAlarmNotWorkFan";"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbSupplyVent.xAlarmNotWorkFan";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[3].fbInterval.in_xRightBorderStrict";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[3].fbInterval.in_xRightBorderStrict";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbExhaustVent.fbParking.in_xFire";"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbExhaustVent.fbParking.in_xFire";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbSupplyVent.fbHeater.tpPreHeatingUp.ET";"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbSupplyVent.fbHeater.tpPreHeatingUp.ET";InOut;LINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[3].fbPT1000.Factor_D_Pt1000A385[2]";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[3].fbPT1000.Factor_D_Pt1000A385[2]";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stHoldingRegisters.arHoldingRegisters[55]";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stHoldingRegisters.arHoldingRegisters[55]";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbFanRecup.stFan.xStartOnRemoteMode";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbFanRecup.stFan.xStartOnRemoteMode";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensor[5].xLeftIntervalStrict";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.astSensor[5].xLeftIntervalStrict";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[4].tonAlarmSensor.PT";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[4].tonAlarmSensor.PT";InOut;LINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[3].in_xResetAlarm";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[3].in_xResetAlarm";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbExhaustVent.fbParking.in_xAlarmPower";"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbExhaustVent.fbParking.in_xAlarmPower";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbParkingRecup.stParking.bSetWeek";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbParkingRecup.stParking.bSetWeek";InOut;USINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbExhaustVent.fbParking.stParking.wSetOffHour";"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbExhaustVent.fbParking.stParking.wSetOffHour";InOut;USINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stFanRecup.usiDelayStart";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.stFanRecup.usiDelayStart";InOut;USINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[10].fbScale.in_rYMAX";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[10].fbScale.in_rYMAX";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL_Retain.axOutputCoils[9]";"ns=4;s=|var|kB.D-2.Application.GVL_Retain.axOutputCoils[9]";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbFanRecup.rsAlarmNotWork.RESET1";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbFanRecup.rsAlarmNotWork.RESET1";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[6].fbPT1000.in_rValue";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[6].fbPT1000.in_rValue";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbSupplyVent.fbParking.out_xParkingGeneral";"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbSupplyVent.fbParking.out_xParkingGeneral";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[8].out_xAlarmSensor";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.fbSensor[8].out_xAlarmSensor";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbSupplyVent.fbFan.fbScaling.out_rValue";"ns=4;s=|var|kB.D-2.Application.PRG_Main.fbSupplyVent.fbFan.fbScaling.out_rValue";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.GVL.A2_AOpin7_r";"ns=4;s=|var|kB.D-2.Application.GVL.A2_AOpin7_r";InOut;REAL;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|vprop|kB.D-2.Application.PRG_MainSupport.axAlarmCollections.Dimensions";"ns=4;s=|vprop|kB.D-2.Application.PRG_MainSupport.axAlarmCollections.Dimensions";InOut;UDINT;False;False;0;;0;False;;;;False;0;False
"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.axAlarmCollections[29]";"ns=4;s=|var|kB.D-2.Application.PRG_MainSupport.axAlarmCollections[29]";InOut;BOOL;False;False;0;;0;False;;;;False;0;False
